body,url
Кудрово. Свежая просрочка. В личку.,https://sun9-56.userapi.com/n0Q9qobwzf21Fx9D4Pz6zBgK78ghcAQZEMGdbg/oD2cfuVbbPY.jpg
"Заказ из популярного грузинского ресторана. Для любителей кинзы и баранины. Долма, омлет кюкю и пахли из тыквы.

Ул. Крыленко",https://sun9-20.userapi.com/GfOGa_R21ngfsM5um_b42MzyHfv12gIVpN6bfg/VuucTIOPTOc.jpg
"Богатырский проспект, 2км от м. Беговая.

2 бутылки просроченного молока по 500мл на выпечку и списанные томаты, упакованы 13.06, выглядят нормально, не вскрывались.

Только в лс, за комментами не слежу.",https://sun9-51.userapi.com/XaVvNQhQfl7Ln_KQ_pRAYfDYoFBhvrrVBSYYKg/9dsQRweJbuI.jpg
"📍Самовывоз: Вадима Шефнера 12/1. 
🙌Отдам баночку с конопляной пастой. 
* мне совсем не понравилась.
Пишите в лс 🤘🏻",https://sun9-61.userapi.com/QexQZG5NrOM3C7dhGe22ZSF1B1vHMLP3sK1_3A/S51mv_cmYVc.jpg
Не надо мне столько хлеба. 😊 Поделюсь на м. Петроградская.,https://sun9-61.userapi.com/QexQZG5NrOM3C7dhGe22ZSF1B1vHMLP3sK1_3A/S51mv_cmYVc.jpg
"Всем привет)
Отдам с актуальным сроком годности: новую пачку макарон и растительное масло

Ⓜ Проспект Просвещения",https://sun9-32.userapi.com/8TnZ0yogZCc-TmnHp_2G2sQtZ1BDWn6xEGUNFg/NxHvnWsVBDQ.jpg
"Накормлю желающего оставшимся шашлыком(положу перец, хлеб и чай)",https://sun9-36.userapi.com/Y162FZeEzHEedbhTFMsyjdVC4ZroyxfVBdAnCQ/RwYvTpvT1To.jpg
"Отдам сало. Хранилось в морозилке с осени прошлого года. м. Ломоносовская, угол Седова и Ивановской.",https://sun9-12.userapi.com/hxbunjajCZ5_TkuA4F1VgyC2I7wSltcJERertQ/xRe1OH188SA.jpg
"М. Новочеркасская Гранитная улица. 
Спасите капуста 1/3 качана
Замороженная тертая морковь
Котлеты замороженные из Ермолино ""Бабушкины"" 5штук
Кашка овсяная быстрорастворимая с черникой (срок вышел в конце марта 2020) 3шт.
Соус Долмио половина баночки, открыли вчера. 
 Чай детский ""Сказка на ночь"" 8пакетиков.",https://sun9-11.userapi.com/c857032/v857032156/1be3af/_mLuxZDcQjQ.jpg
"ОТДАНО!!! Отдам даром кофеварку + фильтры и пикетированный чай из Турции. 
Забирать на ул социалистическая 14.",https://sun9-45.userapi.com/_QkgOLTM0B5_8Z1mApbnYhcZyM3ZwcFapXxI3w/D-D4NMW3BDM.jpg
